,ItemCode,#sales,stage,WeeklySales
185,1097143,20,test,"[117, 52, 42, 63, 77, 74, 42, 30, 30, 10, 12, 40, 9, 23, 33, 22, 32, 20, 38, 63]"
186,1098493,21,validation,"[10, 14, 7, 13, 11, 7, 2, 6, 7, 6, 11, 7, 12, 8, 6, 8, 5, 9, 8, 8, 19]"
187,1098502,21,validation,"[6, 2, 10, 9, 10, 5, 1, 3, 8, 7, 4, 9, 3, 9, 3, 9, 9, 4, 5, 5, 6]"
188,1101553,20,test,"[21, 8, 2, 1, 5, 1, 4, 11, 10, 5, 3, 5, 9, 5, 6, 3, 16, 17, 5, 6]"
189,1101562,21,validation,"[6, 14, 13, 2, 6, 7, 4, 6, 9, 8, 10, 19, 4, 13, 9, 10, 0, 7, 27, 31, 12]"
190,1101571,21,validation,"[1, 57, 56, 8, 7, 17, 12, 2, 7, 18, 7, 6, 7, 3, 8, 4, 3, 2, 2, 81, 88]"
191,1101661,21,validation,"[31, 53, 65, 39, 53, 27, 44, 5, 22, 26, 14, 41, 23, 14, 45, 38, 27, 26, 57, 27, 31]"
192,1101769,21,validation,"[5, 7, 20, 32, 20, 33, 15, 8, 3, 0, 0, 18, 20, 22, 17, 14, 1, 0, 2, 0, 0]"
193,1103056,19,test,"[16, 16, 15, 13, 18, 10, 3, 8, 12, 28, 27, 20, 17, 24, 19, 12, 7, 18, 14]"
194,1105009,18,validation,"[6, 6, 7, 5, 9, 11, 4, 5, 5, 10, 17, 17, 4, 6, 9, 4, 7, 3]"
195,1105018,17,test,"[4, 10, 10, 13, 3, 6, 2, 3, 6, 11, 4, 7, 8, 6, 7, 10, 15]"
196,1105027,17,validation,"[12, 6, 5, 8, 7, 14, 6, 3, 11, 10, 7, 16, 13, 10, 12, 7, 12]"
