,ItemCode,#sales,stage,DailySales
33,64978,134,validation,"[1, 1, 2, 0, 0, 1, 1, 2, 2, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 2, 1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 6, 3, 1, 1, 4, 0, 1, 1, 0, 2, 0, 0, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1]"
34,65788,136,test,"[7, 12, 7, 5, 5, 8, 6, 8, 7, 7, 5, 9, 8, 7, 2, 7, 16, 9, 10, 9, 4, 9, 6, 5, 10, 8, 9, 4, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 5, 0, 0, 0, 2, 4, 1, 1, 2, 0, 2, 1, 1, 1, 0, 1, 1, 2, 2, 1, 3, 5, 1, 1, 3, 2, 1, 2, 2, 1, 1, 1, 4, 3, 1, 2, 2, 1, 4, 0, 2, 0, 3, 1, 1, 1, 0, 0, 1, 1, 2, 3, 3, 2, 2, 1, 0, 3, 1, 0, 4, 1, 3, 3, 0, 0, 1, 3, 1, 0, 1, 3, 1, 1, 1, 2, 0, 0, 2, 2, 5, 0, 4, 4, 0, 0, 1, 3, 2, 1, 2, 2, 0, 0, 0, 1, 3, 3]"
35,75886,136,validation,"[2, 0, 5, 1, 7, 1, 1, 1, 1, 0, 0, 2, 1, 1, 1, 3, 0, 1, 1, 2, 0, 6, 0, 0, 4, 2, 1, 0, 0, 3, 0, 1, 0, 0, 0, 1, 1, 0, 3, 1, 2, 1, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 2, 1, 4, 2, 1, 2, 2, 1, 2, 7, 1, 1, 1, 1, 4, 0, 0, 1, 0, 2, 3, 3, 4, 0, 1, 4, 2, 2, 0, 2, 3, 0, 0, 0, 0, 0, 0, 1, 8, 2, 2, 1, 1, 1, 2, 4, 0, 0, 0, 2, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 3, 1, 0, 3, 2, 1, 2, 2, 1, 0, 3, 5, 1, 2]"
36,76399,126,validation,"[14, 4, 3, 5, 1, 0, 2, 3, 0, 0, 0, 3, 3, 0, 4, 2, 0, 12, 2, 7, 2, 0, 8, 0, 5, 3, 5, 3, 6, 0, 1, 1, 3, 5, 2, 4, 0, 3, 10, 4, 6, 2, 4, 1, 8, 0, 3, 16, 0, 6, 4, 0, 2, 3, 0, 3, 0, 1, 10, 0, 4, 3, 2, 3, 7, 6, 1, 2, 2, 4, 0, 6, 1, 0, 0, 1, 2, 18, 3, 7, 12, 5, 1, 4, 13, 1, 3, 0, 7, 2, 8, 4, 3, 1, 13, 3, 1, 3, 15, 5, 5, 3, 1, 2, 18, 10, 0, 5, 4, 6, 9, 32, 1, 5, 3, 3, 4, 6, 11, 2, 9, 20, 1, 7, 3, 7]"
37,86974,127,validation,"[4, 0, 8, 1, 10, 3, 2, 2, 0, 2, 0, 6, 3, 2, 2, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 4, 4, 4, 10, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 2, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 5, 10, 4, 1, 3, 4, 2, 1, 0, 2, 10, 1, 4, 2, 1, 2, 3, 9, 2, 0, 2, 5, 1, 13, 8, 4, 10, 7, 2, 1, 3, 7, 15, 1, 5, 5, 1, 2, 2, 7, 1, 2, 11, 2, 7, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5]"
38,86992,136,test,"[4, 0, 1, 11, 4, 2, 4, 18, 1, 3, 8, 3, 2, 2, 7, 4, 5, 6, 12, 1, 4, 3, 7, 4, 2, 5, 10, 4, 10, 5, 9, 4, 6, 4, 4, 14, 3, 6, 8, 5, 2, 8, 3, 4, 3, 18, 5, 13, 2, 8, 7, 8, 10, 2, 9, 5, 9, 8, 7, 9, 5, 7, 4, 4, 4, 10, 3, 14, 6, 7, 4, 9, 11, 5, 11, 2, 30, 5, 8, 4, 13, 6, 10, 6, 8, 11, 1, 14, 4, 4, 12, 23, 7, 7, 11, 4, 3, 11, 2, 6, 4, 9, 13, 2, 5, 4, 15, 4, 8, 9, 33, 5, 8, 4, 5, 14, 9, 26, 4, 9, 7, 10, 10, 9, 20, 15, 10, 5, 6, 11, 27, 12, 12, 10, 20, 12]"
39,87046,115,test,"[3, 1, 2, 0, 4, 0, 0, 0, 0, 2, 0, 3, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 2, 2, 2, 4, 3, 0, 2, 3, 2, 1, 2, 0, 0, 0, 2, 0, 3, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 0, 3, 3, 3, 2, 2, 1, 2, 0, 1, 2, 5, 1, 2, 1, 4, 0, 1, 4, 5, 1, 4, 2, 3, 5, 2, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 3, 2, 3, 2, 0, 2, 0, 1]"
40,87559,136,test,"[6, 1, 1, 6, 0, 2, 5, 3, 13, 1, 0, 1, 3, 1, 1, 4, 1, 8, 0, 0, 4, 1, 0, 5, 3, 1, 2, 5, 3, 5, 2, 1, 1, 2, 3, 4, 1, 1, 2, 2, 0, 2, 3, 4, 1, 5, 0, 2, 5, 3, 7, 2, 2, 1, 1, 2, 2, 4, 2, 3, 5, 1, 2, 3, 1, 0, 2, 2, 3, 1, 0, 4, 3, 6, 4, 1, 3, 2, 29, 3, 7, 2, 10, 5, 8, 1, 1, 4, 3, 5, 5, 30, 6, 1, 4, 5, 6, 2, 2, 6, 3, 7, 1, 6, 4, 8, 4, 1, 1, 4, 4, 3, 3, 2, 1, 4, 3, 6, 6, 3, 3, 6, 4, 11, 1, 4, 5, 1, 3, 2, 3, 1, 11, 2, 5, 6]"
41,88450,134,test,"[4, 10, 51, 17, 27, 10, 16, 1, 5, 15, 28, 4, 13, 26, 47, 2, 19, 10, 7, 1, 11, 9, 7, 19, 17, 15, 8, 0, 77, 8, 12, 15, 60, 6, 19, 12, 4, 26, 28, 6, 15, 33, 4, 22, 15, 15, 8, 19, 11, 18, 8, 14, 14, 30, 15, 10, 12, 22, 12, 4, 10, 3, 12, 4, 8, 7, 15, 38, 8, 13, 10, 11, 4, 4, 10, 20, 9, 7, 8, 3, 14, 3, 4, 13, 60, 6, 11, 13, 29, 10, 21, 20, 6, 7, 5, 0, 5, 7, 3, 9, 1, 14, 13, 22, 10, 10, 7, 9, 9, 19, 6, 18, 5, 10, 16, 16, 11, 34, 14, 9, 1, 0, 16, 15, 14, 15, 3, 9, 2, 13, 10, 52, 12, 9]"
42,99079,136,validation,"[2, 4, 3, 2, 5, 5, 2, 1, 4, 1, 1, 3, 2, 1, 0, 2, 4, 1, 3, 0, 3, 1, 0, 4, 2, 3, 7, 1, 6, 1, 3, 6, 4, 5, 1, 4, 2, 3, 0, 3, 2, 4, 4, 2, 0, 3, 3, 1, 4, 1, 5, 2, 3, 0, 4, 1, 2, 18, 4, 6, 2, 1, 4, 4, 3, 1, 3, 1, 1, 2, 7, 1, 2, 3, 2, 2, 0, 3, 2, 2, 4, 3, 7, 5, 5, 8, 3, 1, 0, 1, 2, 4, 6, 7, 5, 0, 3, 5, 5, 1, 4, 2, 2, 2, 2, 0, 0, 4, 23, 6, 1, 0, 2, 0, 4, 4, 3, 1, 0, 1, 6, 1, 2, 2, 1, 2, 4, 1, 4, 0, 2, 1, 3, 4, 4, 3]"
43,110320,136,validation,"[5, 3, 5, 3, 2, 7, 5, 1, 10, 9, 1, 2, 11, 5, 5, 6, 6, 1, 5, 4, 4, 1, 6, 1, 3, 8, 5, 4, 7, 10, 11, 1, 8, 14, 6, 4, 3, 13, 3, 5, 6, 5, 10, 7, 2, 8, 5, 5, 5, 3, 7, 7, 5, 4, 4, 7, 16, 5, 9, 5, 5, 3, 8, 3, 17, 13, 6, 7, 11, 16, 5, 5, 3, 4, 10, 8, 2, 8, 10, 16, 10, 12, 5, 2, 6, 7, 5, 6, 6, 3, 8, 16, 4, 5, 7, 2, 6, 4, 6, 9, 13, 5, 7, 11, 12, 8, 2, 9, 4, 5, 5, 11, 15, 7, 5, 9, 7, 11, 4, 4, 3, 8, 7, 8, 0, 4, 2, 5, 2, 8, 3, 0, 4, 1, 4, 11]"
44,111382,136,test,"[1, 2, 5, 0, 6, 4, 4, 1, 7, 2, 1, 2, 0, 5, 3, 8, 2, 0, 0, 4, 3, 1, 1, 2, 3, 5, 2, 3, 2, 2, 1, 0, 0, 0, 1, 1, 3, 6, 5, 3, 1, 1, 4, 0, 1, 1, 2, 1, 3, 1, 0, 2, 2, 2, 0, 1, 0, 7, 4, 1, 2, 2, 3, 2, 1, 5, 1, 2, 8, 2, 0, 1, 1, 2, 0, 3, 0, 0, 2, 0, 0, 1, 1, 0, 2, 1, 2, 1, 8, 2, 4, 0, 2, 1, 2, 1, 0, 2, 2, 2, 0, 0, 2, 1, 5, 1, 1, 1, 0, 1, 1, 3, 1, 2, 1, 3, 0, 1, 0, 0, 4, 3, 0, 2, 5, 3, 1, 0, 2, 2, 1, 1, 0, 2, 1, 3]"
45,111436,133,test,"[1, 2, 0, 0, 4, 0, 1, 1, 0, 0, 1, 5, 2, 0, 2, 1, 0, 0, 2, 2, 2, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 2, 1, 2, 1, 2, 0, 0, 2, 1, 3, 1, 3, 1, 9, 0, 0, 0, 10, 2, 1, 1, 0, 1, 4, 3, 1, 5, 0, 1, 1, 2, 1, 2, 0, 1, 0, 3, 0, 4, 7, 4, 1, 1, 0, 0, 0, 2, 2, 1, 4, 2, 0, 2, 0, 3, 2, 3, 1, 4, 0, 8, 1, 0, 3, 0, 1, 0, 2, 0, 1, 1, 2, 1, 5, 0, 0, 0, 2, 1, 0, 5, 1]"
46,117610,135,test,"[1, 1, 2, 3, 2, 1, 2, 1, 1, 1, 2, 0, 3, 2, 1, 1, 2, 0, 2, 1, 1, 5, 2, 3, 5, 0, 1, 3, 4, 3, 11, 7, 7, 11, 12, 8, 7, 13, 4, 5, 4, 15, 0, 1, 0, 2, 1, 0, 4, 1, 5, 8, 2, 6, 7, 3, 2, 2, 4, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 24, 0, 2, 0, 2, 0, 1, 2, 2, 0, 1, 0, 0, 0, 2, 1, 1, 7, 3, 1, 0, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 6, 0, 1, 0, 1, 2, 1, 1, 0, 2, 2, 0, 1, 0, 2, 4, 0, 2, 2, 0, 0, 2, 0, 3, 0, 2, 1, 1]"
47,118033,136,validation,"[4, 1, 2, 1, 1, 3, 1, 0, 1, 0, 0, 4, 3, 1, 3, 1, 0, 0, 4, 0, 3, 3, 1, 1, 0, 5, 3, 2, 2, 0, 1, 2, 2, 2, 1, 0, 3, 1, 3, 3, 4, 0, 3, 2, 1, 1, 3, 3, 4, 1, 4, 0, 0, 2, 1, 5, 2, 2, 0, 0, 0, 1, 0, 1, 8, 1, 1, 0, 0, 1, 1, 4, 1, 0, 1, 3, 3, 0, 1, 3, 1, 1, 5, 3, 3, 0, 0, 1, 1, 1, 3, 25, 3, 3, 6, 5, 0, 2, 8, 4, 2, 0, 3, 2, 5, 0, 2, 2, 1, 1, 4, 2, 2, 1, 3, 3, 3, 5, 1, 1, 6, 2, 2, 3, 3, 4, 4, 1, 1, 0, 2, 2, 1, 1, 1, 1]"
48,119554,136,test,"[4, 13, 9, 17, 6, 18, 22, 17, 17, 11, 32, 8, 12, 32, 20, 5, 11, 26, 18, 6, 14, 19, 20, 7, 36, 15, 8, 19, 11, 13, 7, 7, 25, 43, 22, 15, 7, 18, 12, 12, 10, 52, 24, 15, 2, 16, 26, 34, 20, 15, 12, 16, 15, 29, 49, 37, 23, 41, 23, 19, 23, 38, 28, 20, 18, 20, 29, 12, 19, 33, 79, 21, 14, 19, 26, 16, 30, 10, 12, 27, 26, 37, 58, 18, 17, 21, 7, 14, 49, 24, 17, 32, 8, 20, 30, 21, 137, 16, 25, 18, 18, 32, 9, 34, 37, 10, 54, 20, 12, 47, 30, 36, 46, 14, 11, 17, 20, 29, 16, 17, 31, 20, 13, 52, 18, 50, 15, 21, 23, 18, 13, 49, 13, 8, 25, 14]"
49,123307,136,test,"[87, 87, 68, 114, 98, 72, 43, 101, 56, 85, 98, 69, 65, 68, 68, 71, 54, 68, 47, 37, 58, 60, 40, 68, 93, 138, 53, 83, 44, 79, 62, 60, 50, 38, 36, 52, 53, 41, 76, 50, 77, 50, 51, 51, 42, 52, 31, 41, 45, 44, 44, 75, 53, 58, 31, 76, 54, 66, 71, 31, 81, 54, 55, 75, 64, 40, 93, 36, 48, 39, 54, 85, 41, 68, 91, 58, 57, 60, 96, 86, 163, 105, 86, 83, 111, 65, 70, 64, 128, 66, 151, 199, 48, 75, 87, 73, 86, 99, 68, 94, 125, 64, 89, 85, 81, 67, 101, 52, 65, 94, 50, 134, 75, 23, 86, 126, 28, 48, 82, 47, 25, 0, 0, 0, 2, 149, 82, 123, 20, 36, 0, 2, 146, 205, 19, 147]"
50,124774,135,validation,"[2, 1, 3, 0, 0, 7, 10, 6, 0, 1, 3, 1, 3, 11, 3, 3, 3, 0, 2, 12, 1, 3, 2, 8, 1, 3, 2, 0, 5, 0, 2, 5, 1, 3, 6, 2, 3, 1, 4, 0, 2, 5, 2, 1, 3, 5, 2, 4, 3, 3, 5, 6, 8, 1, 1, 2, 1, 1, 2, 4, 8, 3, 3, 2, 2, 3, 2, 5, 12, 0, 3, 2, 3, 7, 1, 6, 8, 9, 15, 1, 3, 2, 0, 5, 3, 3, 3, 0, 11, 2, 2, 3, 4, 2, 4, 2, 1, 5, 5, 2, 2, 3, 26, 2, 11, 5, 0, 8, 3, 0, 1, 0, 2, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4]"
51,124954,136,validation,"[2, 3, 2, 3, 1, 2, 0, 3, 0, 0, 2, 1, 3, 4, 0, 3, 0, 4, 2, 4, 2, 5, 1, 0, 3, 3, 2, 3, 5, 6, 9, 1, 5, 7, 5, 8, 5, 8, 10, 6, 2, 5, 4, 4, 4, 9, 5, 11, 9, 6, 3, 6, 2, 1, 3, 5, 4, 3, 5, 3, 2, 2, 2, 2, 3, 1, 1, 4, 2, 2, 1, 2, 2, 2, 1, 3, 3, 3, 5, 2, 1, 2, 1, 4, 2, 1, 1, 3, 2, 2, 3, 4, 2, 1, 2, 4, 2, 5, 2, 3, 2, 3, 3, 1, 2, 3, 0, 1, 1, 0, 2, 1, 0, 2, 2, 1, 4, 5, 5, 4, 4, 7, 3, 4, 6, 6, 5, 2, 1, 3, 5, 4, 6, 8, 4, 2]"
52,130993,135,test,"[5, 2, 2, 3, 1, 1, 1, 7, 4, 1, 3, 0, 0, 1, 0, 2, 2, 2, 2, 5, 2, 0, 0, 0, 3, 0, 0, 0, 4, 0, 5, 6, 25, 6, 1, 0, 0, 3, 0, 2, 1, 8, 10, 13, 8, 9, 15, 1, 1, 4, 3, 1, 0, 0, 0, 2, 4, 0, 0, 4, 0, 1, 0, 0, 2, 1, 4, 1, 0, 5, 1, 0, 3, 1, 0, 0, 0, 0, 1, 0, 2, 3, 0, 4, 5, 1, 1, 0, 16, 3, 5, 3, 1, 1, 2, 0, 2, 1, 2, 0, 3, 1, 0, 3, 14, 4, 4, 4, 8, 3, 5, 3, 1, 1, 0, 4, 2, 1, 1, 1, 3, 0, 4, 1, 0, 0, 1, 0, 1, 7, 0, 3, 16, 5, 13]"
53,131983,136,validation,"[2, 9, 7, 9, 3, 6, 7, 4, 11, 4, 9, 4, 3, 5, 6, 6, 7, 13, 1, 2, 7, 5, 2, 3, 2, 1, 4, 5, 2, 2, 4, 6, 5, 3, 5, 1, 4, 6, 2, 3, 7, 3, 4, 7, 5, 6, 4, 8, 14, 5, 13, 5, 3, 2, 6, 3, 9, 2, 7, 9, 3, 7, 1, 2, 6, 2, 4, 6, 4, 1, 9, 7, 8, 2, 4, 4, 2, 6, 7, 8, 2, 7, 5, 12, 7, 7, 5, 7, 4, 9, 6, 7, 6, 2, 2, 10, 10, 8, 4, 2, 1, 4, 10, 5, 3, 0, 0, 2, 4, 4, 2, 1, 5, 7, 6, 9, 2, 5, 10, 5, 6, 2, 7, 2, 7, 6, 1, 5, 3, 5, 7, 10, 6, 3, 3, 3]"
54,132028,136,validation,"[26, 16, 55, 18, 28, 20, 21, 18, 12, 16, 19, 14, 13, 24, 9, 19, 34, 10, 26, 15, 11, 13, 15, 19, 20, 20, 34, 20, 26, 20, 14, 45, 35, 37, 36, 29, 16, 13, 14, 32, 18, 17, 75, 13, 24, 10, 14, 19, 10, 14, 19, 22, 30, 26, 72, 30, 37, 16, 14, 26, 22, 84, 29, 23, 16, 19, 14, 21, 19, 21, 23, 20, 9, 15, 16, 24, 18, 4, 29, 7, 23, 14, 30, 24, 14, 21, 14, 11, 7, 7, 32, 12, 6, 11, 19, 10, 10, 23, 15, 21, 45, 16, 20, 36, 22, 23, 14, 16, 12, 13, 18, 22, 54, 39, 40, 35, 65, 32, 30, 19, 21, 25, 6, 15, 22, 24, 17, 16, 17, 22, 19, 29, 15, 14, 26, 17]"
55,132334,136,test,"[2, 7, 2, 1, 0, 0, 7, 0, 3, 3, 6, 6, 3, 1, 0, 1, 3, 0, 1, 4, 1, 0, 1, 4, 1, 0, 4, 1, 1, 0, 0, 0, 0, 4, 4, 0, 0, 4, 3, 1, 1, 5, 1, 6, 3, 1, 1, 3, 0, 3, 6, 5, 3, 1, 5, 0, 5, 18, 10, 4, 2, 5, 4, 1, 15, 13, 4, 8, 1, 4, 5, 4, 8, 2, 6, 1, 2, 5, 6, 9, 3, 6, 3, 3, 3, 5, 2, 0, 5, 3, 5, 8, 12, 4, 10, 7, 2, 1, 1, 4, 4, 0, 1, 1, 1, 8, 5, 6, 2, 5, 7, 4, 0, 3, 2, 1, 2, 4, 0, 2, 5, 2, 2, 0, 1, 4, 1, 1, 6, 2, 0, 0, 1, 1, 4, 5]"
56,138742,136,validation,"[4, 3, 2, 4, 4, 10, 11, 1, 3, 3, 1, 4, 1, 0, 5, 4, 6, 2, 0, 1, 3, 5, 1, 1, 4, 4, 4, 6, 3, 5, 4, 6, 2, 0, 4, 4, 0, 8, 0, 7, 4, 4, 0, 4, 1, 5, 3, 3, 4, 2, 6, 2, 1, 4, 2, 1, 4, 5, 5, 6, 8, 9, 2, 2, 3, 4, 2, 4, 4, 3, 2, 6, 3, 2, 2, 3, 3, 6, 6, 12, 4, 3, 4, 2, 5, 3, 6, 3, 5, 0, 0, 5, 2, 0, 4, 2, 0, 3, 6, 3, 3, 1, 3, 3, 4, 3, 0, 0, 2, 5, 6, 9, 18, 0, 2, 2, 3, 6, 2, 0, 7, 2, 3, 2, 1, 4, 5, 2, 1, 0, 9, 1, 2, 3, 4, 1]"
57,142756,136,validation,"[5, 2, 3, 4, 2, 7, 7, 17, 3, 3, 0, 7, 2, 6, 9, 3, 4, 10, 2, 1, 21, 8, 3, 0, 4, 10, 11, 1, 3, 0, 4, 1, 3, 2, 4, 25, 0, 0, 0, 4, 2, 6, 5, 5, 6, 2, 3, 14, 3, 2, 3, 1, 7, 0, 3, 26, 1, 0, 1, 5, 3, 3, 2, 4, 4, 5, 3, 4, 3, 2, 5, 2, 0, 18, 2, 4, 6, 7, 8, 2, 12, 5, 15, 5, 7, 1, 2, 4, 2, 4, 5, 13, 2, 3, 11, 4, 3, 2, 4, 8, 2, 5, 29, 1, 2, 8, 17, 0, 4, 3, 15, 6, 21, 2, 12, 19, 15, 2, 2, 0, 10, 0, 1, 7, 7, 5, 2, 1, 5, 20, 13, 22, 12, 8, 4, 4]"
58,145330,136,test,"[1, 6, 0, 0, 1, 1, 4, 2, 1, 2, 0, 1, 2, 0, 2, 2, 13, 1, 4, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 3, 0, 0, 2, 0, 1, 0, 0, 0, 1, 2, 1, 2, 0, 2, 0, 7, 1, 0, 1, 0, 0, 1, 4, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 6, 5, 6, 2, 1, 2, 5, 1, 2, 2, 3, 3, 0, 5, 2, 4, 3, 6, 2, 2, 2, 3, 6, 3, 1, 1, 1, 5, 1, 4, 2, 2, 2, 0, 4, 5, 1, 3, 0, 4, 1, 1, 1, 0, 2, 3, 1, 4, 0, 1, 4, 1, 1, 4, 1, 1, 2, 4, 3, 2, 3, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 2, 3]"
59,145978,136,test,"[8, 3, 9, 2, 1, 2, 4, 11, 11, 4, 7, 4, 7, 3, 2, 8, 1, 4, 6, 4, 3, 3, 4, 10, 7, 2, 4, 4, 6, 3, 5, 5, 3, 4, 9, 1, 2, 3, 4, 1, 3, 1, 3, 9, 2, 5, 2, 9, 0, 3, 7, 4, 11, 6, 6, 6, 7, 7, 1, 2, 3, 9, 5, 16, 8, 6, 3, 11, 0, 4, 3, 4, 6, 4, 13, 6, 10, 3, 10, 10, 10, 4, 5, 9, 3, 13, 2, 4, 4, 2, 5, 10, 9, 4, 10, 3, 4, 8, 8, 5, 11, 4, 6, 3, 6, 5, 4, 4, 4, 3, 11, 7, 7, 6, 3, 3, 4, 16, 6, 3, 8, 11, 5, 5, 3, 7, 3, 2, 8, 4, 8, 1, 6, 9, 1, 3]"
60,169504,136,test,"[133, 69, 109, 188, 87, 136, 102, 114, 103, 50, 84, 109, 124, 43, 56, 33, 62, 77, 53, 140, 248, 89, 129, 72, 100, 0, 96, 150, 109, 86, 144, 123, 85, 120, 60, 81, 117, 78, 101, 64, 131, 144, 104, 79, 63, 101, 113, 128, 102, 115, 92, 69, 96, 74, 101, 129, 149, 57, 70, 72, 143, 89, 60, 178, 34, 28, 113, 61, 91, 164, 60, 77, 131, 82, 65, 149, 154, 64, 126, 97, 85, 66, 62, 110, 134, 20, 57, 98, 161, 54, 129, 99, 48, 73, 91, 109, 120, 87, 53, 99, 76, 157, 63, 63, 73, 54, 33, 64, 107, 111, 106, 12, 59, 63, 57, 319, 45, 44, 56, 35, 63, 127, 62, 7, 55, 11, 28, 96, 12, 69, 41, 49, 15, 61, 90, 46]"
61,172033,133,validation,"[5, 7, 6, 3, 4, 5, 6, 7, 13, 6, 2, 1, 5, 3, 4, 2, 3, 2, 4, 4, 4, 0, 2, 6, 2, 4, 1, 6, 5, 15, 14, 7, 22, 19, 17, 39, 28, 46, 39, 25, 34, 44, 8, 16, 11, 23, 15, 26, 19, 2, 8, 6, 9, 49, 2, 4, 3, 3, 7, 1, 0, 2, 2, 5, 1, 1, 1, 1, 1, 8, 2, 0, 2, 3, 3, 3, 2, 1, 8, 3, 2, 1, 1, 5, 3, 1, 0, 0, 0, 5, 1, 2, 0, 2, 0, 1, 0, 2, 6, 6, 4, 1, 3, 0, 1, 0, 1, 1, 1, 4, 0, 1, 1, 2, 0, 7, 0, 1, 1, 2, 0, 0, 4, 1, 5, 4, 0, 2, 0, 0, 2, 0, 3]"
62,172582,136,validation,"[7, 1, 5, 3, 3, 2, 2, 4, 3, 1, 2, 2, 3, 5, 1, 0, 4, 5, 0, 5, 0, 0, 1, 1, 4, 3, 2, 5, 6, 5, 1, 5, 3, 2, 4, 2, 0, 0, 2, 0, 3, 3, 0, 1, 0, 1, 3, 1, 5, 1, 1, 1, 0, 1, 3, 2, 8, 7, 4, 2, 2, 4, 1, 3, 5, 11, 10, 3, 11, 0, 6, 5, 4, 2, 5, 1, 5, 1, 1, 2, 3, 3, 3, 1, 1, 1, 4, 3, 2, 0, 3, 9, 0, 1, 3, 5, 1, 3, 8, 3, 1, 3, 2, 5, 2, 6, 3, 2, 2, 1, 5, 4, 2, 2, 0, 1, 6, 2, 3, 4, 1, 4, 3, 2, 1, 1, 4, 2, 1, 2, 0, 2, 3, 5, 3, 1]"
63,173617,135,validation,"[3, 4, 3, 2, 2, 3, 9, 1, 1, 1, 1, 7, 4, 2, 6, 3, 4, 6, 2, 1, 2, 0, 3, 4, 1, 4, 5, 2, 5, 5, 3, 6, 2, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 2, 1, 3, 2, 0, 0, 4, 1, 0, 5, 3, 1, 5, 3, 0, 4, 2, 4, 0, 1, 3, 8, 2, 4, 67, 4, 3, 2, 1, 1, 5, 2, 9, 1, 4, 3, 13, 6, 4, 9, 6, 0, 4, 6, 17, 3, 12, 0, 2, 3, 3, 5, 7, 4, 3, 4, 0, 1, 0, 5, 1, 2, 3, 2, 0, 4, 6, 3, 1, 6, 3, 2, 3, 1, 2, 4, 2, 5, 0, 0, 1, 3, 4, 5]"
64,174436,136,test,"[9, 10, 16, 5, 6, 19, 18, 2, 11, 3, 9, 8, 6, 6, 6, 9, 16, 13, 9, 6, 5, 12, 15, 9, 18, 13, 14, 15, 7, 6, 12, 7, 6, 8, 6, 11, 9, 15, 9, 9, 18, 8, 8, 13, 8, 4, 9, 7, 4, 8, 7, 8, 10, 19, 7, 11, 11, 17, 15, 12, 9, 15, 7, 8, 7, 5, 3, 8, 9, 10, 4, 6, 5, 6, 16, 3, 7, 8, 5, 6, 7, 6, 2, 10, 8, 5, 3, 7, 5, 0, 10, 6, 3, 6, 13, 5, 1, 4, 7, 3, 8, 4, 6, 8, 11, 3, 7, 6, 7, 7, 8, 10, 3, 3, 7, 4, 11, 1, 10, 10, 12, 14, 19, 10, 7, 8, 9, 2, 6, 11, 2, 4, 7, 5, 12, 6]"
65,210868,133,validation,"[1, 3, 3, 1, 1, 2, 0, 0, 0, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 4, 1, 0, 2, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 3, 1, 0, 2, 0, 0, 0, 3, 1, 2, 2, 6, 0, 0, 1, 2, 0, 1, 1, 0, 2, 1, 3, 0, 0, 1, 3, 0, 2, 2, 2, 1, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 1, 0, 1, 4, 2, 2, 3, 4, 2, 1, 4, 0, 1, 3, 2, 2, 2, 1, 1, 3, 4, 0, 1, 2, 1, 0, 1, 1, 2, 2, 2, 3, 3, 0, 1, 0, 0, 1, 1, 1]"
